time,x,y,z
0.593,-0.111845,0.721627,0.297756
0.594,0.0821492,0.157238,0.098465
0.595,-0.186529,-0.984928,0.925981
0.596,0.0857315,0.317654,0.157166
0.597,-0.111857,0.50543,0.148967
0.598,-0.371879,-1.32993,0.453797
0.599,-0.175096,0.0981053,-0.0721747
0.6,0.0928929,-0.043074,0.237535
0.601,0.0789824,-0.135597,0.0931959
0.602,-0.176238,-1.00804,0.849683
0.603,-0.102967,0.328344,0.0532088
0.604,-0.076384,0.636604,0.244831
0.605,-0.494252,-1.59556,1.05286
0.606,0.0600219,-0.412277,0.36426
0.607,0.0792334,-0.0583378,0.0789224
0.608,-0.825219,-1.10557,-0.400009
0.609,0.110901,0.0166636,0.200291
0.61,0.049962,0.0510195,0.0481225
0.611,-0.450481,0.525893,0.0963565
0.612,-0.187665,0.394665,0.0620359
0.613,0.0166048,-0.319435,0.0626738
0.614,-0.489877,0.306974,-0.0571817
0.615,0.115578,-0.054631,0.149075
0.616,-0.0225984,-0.614485,0.188235
0.617,0.0639581,-0.0238848,0.0571934
0.618,-0.143872,-0.665584,-0.000811118
0.619,0.0935585,-0.0346119,0.233554
0.62,-0.597019,0.363702,-0.0372568
0.621,-0.420577,0.339853,-0.024198
0.622,0.0178402,0.416775,0.147821
0.623,0.0847079,-0.138964,0.0985685
0.624,-0.041975,-0.444064,0.0158826
0.625,-0.12043,-0.139998,-0.0995995
0.626,0.0921471,0.218866,0.123774
0.627,0.0803658,0.0494017,0.0798971
0.628,-0.383069,-1.42256,0.840958
0.629,-0.24476,-0.871238,0.0127967
0.63,0.0372801,0.198456,0.0706207
0.631,-0.0319679,-0.724363,0.489627
0.632,-0.315623,-0.275787,-0.224322
0.633,-0.0297361,-0.103314,-0.0312538
0.634,-0.0119421,0.223558,0.0487358
0.635,0.0286541,-0.325818,0.0683997
0.636,-0.199248,-0.981163,0.23789
0.637,-0.487357,-0.0565996,-0.237166
0.638,-0.476595,1.03263,0.535009
0.639,-0.258803,-0.608387,-0.155504
0.64,-0.0076948,-0.137176,-0.0132733
0.641,-0.0951614,-0.207646,-0.0857201
0.642,-0.699337,-0.227311,-0.357573
0.643,-0.295944,0.357525,0.0127905
0.644,-0.0034172,0.174882,0.0754631
0.645,-0.0604663,-0.79235,0.55582
0.646,-0.0211456,-0.524625,0.0999673
0.647,-0.221961,0.533452,0.140057
0.648,0.0433809,0.287739,0.105492
0.649,0.031831,0.212153,0.0711529
0.65,-0.0593386,-0.268409,-0.0524818
0.651,-0.243818,0.810761,0.346728
0.652,-0.230232,-0.0236237,-0.134352
0.653,0.0664855,-0.101213,0.0654417
0.654,-0.0526281,0.565715,0.204674
